Year, Month, Day, Hour, Minute, weekday, User, a0, b00, b01, b10, b11, hum, lum, temp_e presence, temp_i, lum_i
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,22,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,23,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,24,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,25,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,25,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,25,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,25,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,25,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,26,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,27,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,28,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,29,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,30,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,31,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,32,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,33,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,34,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,35,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,36,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,37,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.70703125
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,38,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,39,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.70703125
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
